"Bowling_Team","Bowler","Season","Runs","Wickets","Balls","Batting_Team","Stadium","Average","Economy"
"Chennai Super Kings","Adam Milne",2022,19,0,15,"All","All",Inf,7.6
"Chennai Super Kings","Albie Morkel",2008,399,17,288,"All","All",23.4705882352941,8.3125
"Chennai Super Kings","Albie Morkel",2009,324,13,240,"All","All",24.9230769230769,8.1
"Chennai Super Kings","Albie Morkel",2010,405,11,286,"All","All",36.8181818181818,8.4965034965035
"Chennai Super Kings","Albie Morkel",2011,381,15,270,"All","All",25.4,8.46666666666667
"Chennai Super Kings","Albie Morkel",2012,385,13,297,"All","All",29.6153846153846,7.77777777777778
"Chennai Super Kings","Albie Morkel",2013,159,7,144,"All","All",22.7142857142857,6.625
"Chennai Super Kings","Andrew Flintoff",2009,105,2,66,"All","All",52.5,9.54545454545454
"Chennai Super Kings","Ankit Rajpoot",2013,35,1,24,"All","All",35,8.75
"Chennai Super Kings","Ashish Nehra",2014,142,8,90,"All","All",17.75,9.46666666666667
"Chennai Super Kings","Ashish Nehra",2015,449,22,372,"All","All",20.4090909090909,7.24193548387097
"Chennai Super Kings","Ben Hilfenhaus",2012,233,14,204,"All","All",16.6428571428571,6.85294117647059
"Chennai Super Kings","Ben Hilfenhaus",2014,246,8,168,"All","All",30.75,8.78571428571428
"Chennai Super Kings","Ben Laughlin",2013,71,1,42,"All","All",71,10.1428571428571
"Chennai Super Kings","Chamara Kapugedera",2008,49,0,17,"All","All",Inf,17.2941176470588
"Chennai Super Kings","Chandrasekar Ganapathy",2010,13,0,6,"All","All",Inf,13
"Chennai Super Kings","Chris Jordan",2022,135,2,77,"All","All",67.5,10.5194805194805
"Chennai Super Kings","Chris Morris",2013,401,15,300,"All","All",26.7333333333333,8.02
"Chennai Super Kings","David Hussey",2014,38,2,17,"All","All",19,13.4117647058824
"Chennai Super Kings","David Willey",2018,95,2,60,"All","All",47.5,9.5
"Chennai Super Kings","Deepak Chahar",2018,278,10,229,"All","All",27.8,7.28384279475982
"Chennai Super Kings","Deepak Chahar",2019,482,22,387,"All","All",21.9090909090909,7.47286821705426
"Chennai Super Kings","Deepak Chahar",2020,396,12,312,"All","All",33,7.61538461538461
"Chennai Super Kings","Deepak Chahar",2021,451,14,324,"All","All",32.2142857142857,8.35185185185185
"Chennai Super Kings","Dirk Nannes",2013,158,4,119,"All","All",39.5,7.96638655462185
"Chennai Super Kings","Doug Bollinger",2010,207,12,186,"All","All",17.25,6.67741935483871
"Chennai Super Kings","Doug Bollinger",2011,329,17,282,"All","All",19.3529411764706,7
"Chennai Super Kings","Doug Bollinger",2012,157,8,108,"All","All",19.625,8.72222222222222
"Chennai Super Kings","Dwaine Pretorius",2022,210,6,126,"All","All",35,10
"Chennai Super Kings","Dwayne Bravo",2011,157,6,120,"All","All",26.1666666666667,7.85
"Chennai Super Kings","Dwayne Bravo",2012,462,15,346,"All","All",30.8,8.01156069364162
"Chennai Super Kings","Dwayne Bravo",2013,497,32,375,"All","All",15.53125,7.952
"Chennai Super Kings","Dwayne Bravo",2015,426,26,314,"All","All",16.3846153846154,8.14012738853503
"Chennai Super Kings","Dwayne Bravo",2018,533,14,321,"All","All",38.0714285714286,9.96261682242991
"Chennai Super Kings","Dwayne Bravo",2019,330,11,247,"All","All",30,8.0161943319838
"Chennai Super Kings","Dwayne Bravo",2020,180,6,126,"All","All",30,8.57142857142857
"Chennai Super Kings","Dwayne Bravo",2021,263,14,202,"All","All",18.7857142857143,7.81188118811881
"Chennai Super Kings","Dwayne Bravo",2022,299,16,206,"All","All",18.6875,8.70873786407767
"Chennai Super Kings","Dwayne Smith",2014,95,4,60,"All","All",23.75,9.5
"Chennai Super Kings","Dwayne Smith",2015,17,1,12,"All","All",17,8.5
"Chennai Super Kings","Faf du Plessis",2012,16,0,6,"All","All",Inf,16
"Chennai Super Kings","Harbhajan Singh",2018,270,7,191,"All","All",38.5714285714286,8.48167539267016
"Chennai Super Kings","Harbhajan Singh",2019,312,16,264,"All","All",19.5,7.09090909090909
"Chennai Super Kings","Imran Tahir",2018,188,6,124,"All","All",31.3333333333333,9.09677419354839
"Chennai Super Kings","Imran Tahir",2019,431,26,386,"All","All",16.5769230769231,6.69948186528497
"Chennai Super Kings","Imran Tahir",2020,76,1,66,"All","All",76,6.90909090909091
"Chennai Super Kings","Imran Tahir",2021,16,2,24,"All","All",8,4
"Chennai Super Kings","Ishwar Pandey",2014,318,6,252,"All","All",53,7.57142857142857
"Chennai Super Kings","Ishwar Pandey",2015,223,11,186,"All","All",20.2727272727273,7.19354838709677
"Chennai Super Kings","Jacob Oram",2008,149,3,96,"All","All",49.6666666666667,9.3125
"Chennai Super Kings","Jacob Oram",2009,133,5,93,"All","All",26.6,8.58064516129032
"Chennai Super Kings","Jason Holder",2013,168,2,120,"All","All",84,8.4
"Chennai Super Kings","Joginder Sharma",2008,239,8,148,"All","All",29.875,9.68918918918919
"Chennai Super Kings","Joginder Sharma",2009,57,2,42,"All","All",28.5,8.14285714285714
"Chennai Super Kings","Joginder Sharma",2010,89,2,48,"All","All",44.5,11.125
"Chennai Super Kings","Joginder Sharma",2011,34,0,18,"All","All",Inf,11.3333333333333
"Chennai Super Kings","John Hastings",2014,29,1,18,"All","All",29,9.66666666666667
"Chennai Super Kings","Josh Hazlewood",2020,64,1,60,"All","All",64,6.4
"Chennai Super Kings","Josh Hazlewood",2021,293,11,210,"All","All",26.6363636363636,8.37142857142857
"Chennai Super Kings","Justin Kemp",2010,54,3,44,"All","All",18,7.36363636363636
"Chennai Super Kings","KM Asif",2018,75,3,36,"All","All",25,12.5
"Chennai Super Kings","KM Asif",2021,18,1,13,"All","All",18,8.30769230769231
"Chennai Super Kings","Karn Sharma",2018,89,4,57,"All","All",22.25,9.36842105263158
"Chennai Super Kings","Karn Sharma",2019,33,1,17,"All","All",33,11.6470588235294
"Chennai Super Kings","Karn Sharma",2020,165,5,114,"All","All",33,8.68421052631579
"Chennai Super Kings","Lakshmipathy Balaji",2008,286,11,198,"All","All",26,8.66666666666667
"Chennai Super Kings","Lakshmipathy Balaji",2009,316,13,224,"All","All",24.3076923076923,8.46428571428572
"Chennai Super Kings","Lakshmipathy Balaji",2010,207,7,140,"All","All",29.5714285714286,8.87142857142857
"Chennai Super Kings","Lungi Ngidi",2018,156,11,156,"All","All",14.1818181818182,6
"Chennai Super Kings","Lungi Ngidi",2020,167,9,96,"All","All",18.5555555555556,10.4375
"Chennai Super Kings","Lungi Ngidi",2021,125,5,72,"All","All",25,10.4166666666667
"Chennai Super Kings","Maheesh Theekshana",2022,261,12,210,"All","All",21.75,7.45714285714286
"Chennai Super Kings","Makhaya Ntini",2008,242,7,210,"All","All",34.5714285714286,6.91428571428571
"Chennai Super Kings","Manpreet Gony",2008,443,17,360,"All","All",26.0588235294118,7.38333333333333
"Chennai Super Kings","Manpreet Gony",2009,172,5,102,"All","All",34.4,10.1176470588235
"Chennai Super Kings","Manpreet Gony",2010,92,1,48,"All","All",92,11.5
"Chennai Super Kings","Mark Wood",2018,49,0,24,"All","All",Inf,12.25
"Chennai Super Kings","Matheesha Pathirana",2022,52,2,41,"All","All",26,7.60975609756098
"Chennai Super Kings","Mitchell Santner",2019,94,4,84,"All","All",23.5,6.71428571428571
"Chennai Super Kings","Mitchell Santner",2020,53,2,42,"All","All",26.5,7.57142857142857
"Chennai Super Kings","Mitchell Santner",2022,130,4,114,"All","All",32.5,6.84210526315789
"Chennai Super Kings","Moeen Ali",2021,161,6,152,"All","All",26.8333333333333,6.35526315789474
"Chennai Super Kings","Moeen Ali",2022,158,8,143,"All","All",19.75,6.62937062937063
"Chennai Super Kings","Mohit Sharma",2013,326,20,304,"All","All",16.3,6.43421052631579
"Chennai Super Kings","Mohit Sharma",2014,452,23,323,"All","All",19.6521739130435,8.39628482972136
"Chennai Super Kings","Mohit Sharma",2015,481,14,342,"All","All",34.3571428571429,8.43859649122807
"Chennai Super Kings","Mohit Sharma",2019,27,1,18,"All","All",27,9
"Chennai Super Kings","Monu Kumar",2020,20,0,12,"All","All",Inf,10
"Chennai Super Kings","Mukesh Choudhary",2022,424,16,273,"All","All",26.5,9.31868131868132
"Chennai Super Kings","Muthiah Muralidaran",2008,404,11,348,"All","All",36.7272727272727,6.96551724137931
"Chennai Super Kings","Muthiah Muralidaran",2009,261,14,300,"All","All",18.6428571428571,5.22
"Chennai Super Kings","Muthiah Muralidaran",2010,329,15,288,"All","All",21.9333333333333,6.85416666666667
"Chennai Super Kings","Nuwan Kulasekara",2011,26,1,18,"All","All",26,8.66666666666667
"Chennai Super Kings","Nuwan Kulasekara",2012,94,4,84,"All","All",23.5,6.71428571428571
"Chennai Super Kings","Palani Amarnath",2008,236,7,132,"All","All",33.7142857142857,10.7272727272727
"Chennai Super Kings","Pawan Negi",2014,75,0,42,"All","All",Inf,10.7142857142857
"Chennai Super Kings","Pawan Negi",2015,252,6,180,"All","All",42,8.4
"Chennai Super Kings","Piyush Chawla",2020,191,6,126,"All","All",31.8333333333333,9.09523809523809
"Chennai Super Kings","Prashant Solanki",2022,38,2,36,"All","All",19,6.33333333333333
"Chennai Super Kings","Ravichandran Ashwin",2009,13,2,24,"All","All",6.5,3.25
"Chennai Super Kings","Ravichandran Ashwin",2010,293,13,288,"All","All",22.5384615384615,6.10416666666667
"Chennai Super Kings","Ravichandran Ashwin",2011,388,20,378,"All","All",19.4,6.15873015873016
"Chennai Super Kings","Ravichandran Ashwin",2012,431,14,395,"All","All",30.7857142857143,6.54683544303797
"Chennai Super Kings","Ravichandran Ashwin",2013,390,15,348,"All","All",26,6.72413793103448
"Chennai Super Kings","Ravichandran Ashwin",2014,437,16,359,"All","All",27.3125,7.30362116991643
"Chennai Super Kings","Ravichandran Ashwin",2015,228,10,234,"All","All",22.8,5.84615384615385
"Chennai Super Kings","Ravindra Jadeja",2012,273,12,210,"All","All",22.75,7.8
"Chennai Super Kings","Ravindra Jadeja",2013,323,13,259,"All","All",24.8461538461538,7.48262548262548
"Chennai Super Kings","Ravindra Jadeja",2014,443,19,326,"All","All",23.3157894736842,8.15337423312883
"Chennai Super Kings","Ravindra Jadeja",2015,330,11,256,"All","All",30,7.734375
"Chennai Super Kings","Ravindra Jadeja",2018,303,11,246,"All","All",27.5454545454545,7.39024390243902
