"Bowler","Season","Striker","Batting_Team","Runs","Wickets","Balls","Stadium","Bowling_Team","Average","Economy"
"Aaron Finch",2010,"Cheteshwar Pujara","Kolkata Knight Riders",4,0,5,"All","All",Inf,4.8
"Aaron Finch",2010,"Sourav Ganguly","Kolkata Knight Riders",1,0,2,"All","All",Inf,3
"Aaron Finch",2011,"Rohit Sharma","Mumbai Indians",4,0,4,"All","All",Inf,6
"Aaron Finch",2011,"Sachin Tendulkar","Mumbai Indians",9,0,8,"All","All",Inf,6.75
"Aaron Finch",2013,"Chris Gayle","Royal Challengers Bangalore",28,0,5,"All","All",Inf,33.6
"Aaron Finch",2013,"Dinesh Karthik","Mumbai Indians",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"Ravindra Jadeja","Chennai Super Kings",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"Ricky Ponting","Mumbai Indians",1,0,1,"All","All",Inf,6
"Aaron Finch",2013,"Rohit Sharma","Mumbai Indians",2,0,2,"All","All",Inf,6
"Aaron Finch",2013,"S Badrinath","Chennai Super Kings",7,0,4,"All","All",Inf,10.5
"Aaron Finch",2013,"Sachin Tendulkar","Mumbai Indians",6,1,7,"All","All",6,5.14285714285714
"Aaron Finch",2013,"Tillakaratne Dilshan","Royal Challengers Bangalore",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2009,"Abhishek Nayar","Mumbai Indians",0,1,1,"All","All",0,0
"Aavishkar Salvi",2009,"Ajinkya Rahane","Mumbai Indians",11,0,5,"All","All",Inf,13.2
"Aavishkar Salvi",2009,"Albie Morkel","Chennai Super Kings",2,0,3,"All","All",Inf,4
"Aavishkar Salvi",2009,"Irfan Pathan","Punjab Kings",6,1,6,"All","All",6,6
"Aavishkar Salvi",2009,"Jacques Kallis","Royal Challengers Bangalore",13,0,15,"All","All",Inf,5.2
"Aavishkar Salvi",2009,"Johan Botha","Rajasthan Royals",10,0,8,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Karan Goel","Punjab Kings",10,0,4,"All","All",Inf,15
"Aavishkar Salvi",2009,"Matthew Hayden","Chennai Super Kings",33,0,9,"All","All",Inf,22
"Aavishkar Salvi",2009,"Mohammad Ashraful","Mumbai Indians",2,0,4,"All","All",Inf,3
"Aavishkar Salvi",2009,"Naman Ojha","Rajasthan Royals",1,1,6,"All","All",1,1
"Aavishkar Salvi",2009,"Parthiv Patel","Chennai Super Kings",2,0,2,"All","All",Inf,6
"Aavishkar Salvi",2009,"Pinal Shah","Mumbai Indians",4,0,6,"All","All",Inf,4
"Aavishkar Salvi",2009,"Rahul Dravid","Royal Challengers Bangalore",6,0,4,"All","All",Inf,9
"Aavishkar Salvi",2009,"Ravi Bopara","Punjab Kings",1,0,2,"All","All",Inf,3
"Aavishkar Salvi",2009,"Ravindra Jadeja","Rajasthan Royals",7,1,6,"All","All",7,7
"Aavishkar Salvi",2009,"Ross Taylor","Royal Challengers Bangalore",11,0,5,"All","All",Inf,13.2
"Aavishkar Salvi",2009,"S Badrinath","Chennai Super Kings",3,0,3,"All","All",Inf,6
"Aavishkar Salvi",2009,"Sachin Tendulkar","Mumbai Indians",10,0,8,"All","All",Inf,7.5
"Aavishkar Salvi",2009,"Suresh Raina","Chennai Super Kings",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2009,"Yusuf Pathan","Rajasthan Royals",1,0,4,"All","All",Inf,1.5
"Aavishkar Salvi",2011,"Dan Christian","Deccan Chargers",8,0,7,"All","All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"David Hussey","Punjab Kings",1,1,2,"All","All",1,3
"Aavishkar Salvi",2011,"Dinesh Karthik","Punjab Kings",15,1,7,"All","All",15,12.8571428571429
"Aavishkar Salvi",2011,"Dwaraka Ravi Teja","Deccan Chargers",0,1,3,"All","All",0,0
"Aavishkar Salvi",2011,"Ishan Malhotra","Deccan Chargers",6,0,3,"All","All",Inf,12
"Aavishkar Salvi",2011,"Jean-Paul Duminy","Deccan Chargers",1,0,2,"All","All",Inf,3
"Aavishkar Salvi",2011,"Kumar Sangakkara","Deccan Chargers",5,0,6,"All","All",Inf,5
"Aavishkar Salvi",2011,"Mandeep Singh","Punjab Kings",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Paul Valthaty","Punjab Kings",13,0,5,"All","All",Inf,15.6
"Aavishkar Salvi",2011,"Piyush Chawla","Punjab Kings",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Ryan Harris","Punjab Kings",1,0,1,"All","All",Inf,6
"Aavishkar Salvi",2011,"Shaun Marsh","Punjab Kings",8,0,7,"All","All",Inf,6.85714285714286
"Aavishkar Salvi",2011,"Shikhar Dhawan","Deccan Chargers",6,0,3,"All","All",Inf,12
"Abdul Samad",2020,"Ishan Kishan","Mumbai Indians",2,0,2,"All","All",Inf,6
"Abdul Samad",2020,"Kedar Jadhav","Chennai Super Kings",0,1,1,"All","All",0,0
"Abdul Samad",2020,"MS Dhoni","Chennai Super Kings",24,0,14,"All","All",Inf,10.2857142857143
"Abdul Samad",2020,"Nicholas Pooran","Punjab Kings",28,0,6,"All","All",Inf,28
"Abdul Samad",2020,"Quinton de Kock","Mumbai Indians",25,0,10,"All","All",Inf,15
"Abdul Samad",2020,"Ravindra Jadeja","Chennai Super Kings",10,0,7,"All","All",Inf,8.57142857142857
"Abdul Samad",2020,"Sam Curran","Chennai Super Kings",7,0,2,"All","All",Inf,21
"Abdul Samad",2021,"Aiden Markram","Punjab Kings",1,1,2,"All","All",1,3
"Abdul Samad",2021,"Deepak Hooda","Punjab Kings",7,0,3,"All","All",Inf,14
"Abdul Samad",2021,"Harpreet Brar","Punjab Kings",1,0,1,"All","All",Inf,6
"Abdul Samad",2022,"Deepak Hooda","Lucknow Super Giants",2,0,3,"All","All",Inf,4
"Abdul Samad",2022,"KL Rahul","Lucknow Super Giants",6,0,3,"All","All",Inf,12
"Abdur Razzak",2008,"Graeme Smith","Rajasthan Royals",25,0,6,"All","All",Inf,25
"Abdur Razzak",2008,"Shane Watson","Rajasthan Royals",3,0,5,"All","All",Inf,3.6
"Abdur Razzak",2008,"Swapnil Asnodkar","Rajasthan Royals",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2009,"Ajinkya Rahane","Mumbai Indians",18,0,9,"All","All",Inf,12
"Abhimanyu Mithun",2009,"Jean-Paul Duminy","Mumbai Indians",20,0,12,"All","All",Inf,10
"Abhimanyu Mithun",2009,"Sanath Jayasuriya","Mumbai Indians",4,0,3,"All","All",Inf,8
"Abhimanyu Mithun",2010,"Daniel Vettori","Delhi Capitals",2,0,2,"All","All",Inf,6
"Abhimanyu Mithun",2010,"David Warner","Delhi Capitals",6,0,3,"All","All",Inf,12
"Abhimanyu Mithun",2010,"Gautam Gambhir","Delhi Capitals",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2010,"Kedar Jadhav","Delhi Capitals",4,0,3,"All","All",Inf,8
"Abhimanyu Mithun",2010,"Paul Collingwood","Delhi Capitals",20,0,7,"All","All",Inf,17.1428571428571
"Abhimanyu Mithun",2010,"Virender Sehwag","Delhi Capitals",6,1,2,"All","All",6,18
"Abhimanyu Mithun",2011,"Abu Nechim","Mumbai Indians",12,0,5,"All","All",Inf,14.4
"Abhimanyu Mithun",2011,"Adam Gilchrist","Punjab Kings",20,0,10,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Albie Morkel","Chennai Super Kings",2,1,2,"All","All",2,6
"Abhimanyu Mithun",2011,"Ambati Rayudu","Mumbai Indians",18,0,8,"All","All",Inf,13.5
"Abhimanyu Mithun",2011,"Brad Hodge","Kochi Tuskers Kerala",4,0,4,"All","All",Inf,6
"Abhimanyu Mithun",2011,"Brendon McCullum","Kochi Tuskers Kerala",11,0,3,"All","All",Inf,22
"Abhimanyu Mithun",2011,"Dinesh Karthik","Punjab Kings",10,0,4,"All","All",Inf,15
"Abhimanyu Mithun",2011,"Harbhajan Singh","Mumbai Indians",12,0,4,"All","All",Inf,18
"Abhimanyu Mithun",2011,"Irfan Pathan","Delhi Capitals",9,0,4,"All","All",Inf,13.5
"Abhimanyu Mithun",2011,"James Hopes","Delhi Capitals",6,1,6,"All","All",6,6
"Abhimanyu Mithun",2011,"Jesse Ryder","Pune Warriors",14,0,8,"All","All",Inf,10.5
"Abhimanyu Mithun",2011,"MS Dhoni","Chennai Super Kings",34,0,15,"All","All",Inf,13.6
"Abhimanyu Mithun",2011,"Manish Pandey","Pune Warriors",3,0,6,"All","All",Inf,3
"Abhimanyu Mithun",2011,"Manoj Tiwary","Kolkata Knight Riders",3,0,6,"All","All",Inf,3
"Abhimanyu Mithun",2011,"Matthew Wade","Delhi Capitals",3,1,3,"All","All",3,6
"Abhimanyu Mithun",2011,"Michael Hussey","Chennai Super Kings",12,0,6,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Michael Klinger","Kochi Tuskers Kerala",2,0,3,"All","All",Inf,4
"Abhimanyu Mithun",2011,"Murali Vijay","Chennai Super Kings",10,0,6,"All","All",Inf,10
"Abhimanyu Mithun",2011,"Parthiv Patel","Kochi Tuskers Kerala",7,0,3,"All","All",Inf,14
"Abhimanyu Mithun",2011,"Prasanth Parameswaran","Kochi Tuskers Kerala",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2011,"Praveen Kumar","Punjab Kings",15,0,6,"All","All",Inf,15
"Abhimanyu Mithun",2011,"Rajagopal Sathish","Mumbai Indians",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2011,"Ramesh Powar","Kochi Tuskers Kerala",5,0,4,"All","All",Inf,7.5
"Abhimanyu Mithun",2011,"Ravichandran Ashwin","Chennai Super Kings",1,0,1,"All","All",Inf,6
"Abhimanyu Mithun",2011,"Ravindra Jadeja","Kochi Tuskers Kerala",2,1,3,"All","All",2,4
"Abhimanyu Mithun",2011,"Robin Uthappa","Pune Warriors",4,0,2,"All","All",Inf,12
"Abhimanyu Mithun",2011,"Ryan Harris","Punjab Kings",1,0,3,"All","All",Inf,2
"Abhimanyu Mithun",2011,"Ryan McLaren","Punjab Kings",2,0,3,"All","All",Inf,4
"Abhimanyu Mithun",2011,"S Badrinath","Chennai Super Kings",7,1,5,"All","All",7,8.4
"Abhimanyu Mithun",2011,"Sachin Tendulkar","Mumbai Indians",14,0,12,"All","All",Inf,7
"Abhimanyu Mithun",2011,"Shaun Marsh","Punjab Kings",9,0,8,"All","All",Inf,6.75
"Abhimanyu Mithun",2011,"Sunny Singh","Punjab Kings",1,0,2,"All","All",Inf,3
"Abhimanyu Mithun",2011,"Suresh Raina","Chennai Super Kings",19,0,10,"All","All",Inf,11.4
"Abhimanyu Mithun",2011,"Tim Paine","Pune Warriors",2,0,4,"All","All",Inf,3
"Abhimanyu Mithun",2011,"VVS Laxman","Kochi Tuskers Kerala",8,0,3,"All","All",Inf,16
"Abhimanyu Mithun",2011,"Venugopal Rao","Delhi Capitals",19,0,11,"All","All",Inf,10.3636363636364
"Abhimanyu Mithun",2011,"Wriddhiman Saha","Chennai Super Kings",4,0,9,"All","All",Inf,2.66666666666667
"Abhimanyu Mithun",2011,"Yusuf Pathan","Kolkata Knight Riders",11,0,6,"All","All",Inf,11
"Abhimanyu Mithun",2011,"Yuvraj Singh","Pune Warriors",3,0,4,"All","All",Inf,4.5
"Abhimanyu Mithun",2012,"Cameron White","Deccan Chargers",15,0,5,"All","All",Inf,18
"Abhimanyu Mithun",2012,"Daniel Harris","Deccan Chargers",6,0,6,"All","All",Inf,6
"Abhimanyu Mithun",2012,"Shikhar Dhawan","Deccan Chargers",12,0,7,"All","All",Inf,10.2857142857143
"Abhimanyu Mithun",2013,"Gautam Gambhir","Kolkata Knight Riders",13,0,8,"All","All",Inf,9.75
"Abhimanyu Mithun",2013,"Jacques Kallis","Kolkata Knight Riders",14,1,10,"All","All",14,8.4
"Abhimanyu Mithun",2013,"Manoj Tiwary","Kolkata Knight Riders",10,0,6,"All","All",Inf,10
"Abhishek Jhunjhunwala",2010,"Albie Morkel","Chennai Super Kings",11,0,9,"All","All",Inf,7.33333333333333
"Abhishek Jhunjhunwala",2010,"Ambati Rayudu","Mumbai Indians",21,0,8,"All","All",Inf,15.75
"Abhishek Jhunjhunwala",2010,"Herschelle Gibbs","Deccan Chargers",15,0,5,"All","All",Inf,18
"Abhishek Jhunjhunwala",2010,"Jean-Paul Duminy","Mumbai Indians",5,0,5,"All","All",Inf,6
"Abhishek Jhunjhunwala",2010,"Mithun Manhas","Delhi Capitals",2,0,1,"All","All",Inf,12
"Abhishek Jhunjhunwala",2010,"Murali Vijay","Chennai Super Kings",7,0,3,"All","All",Inf,14
"Abhishek Jhunjhunwala",2010,"Sachin Tendulkar","Mumbai Indians",1,0,1,"All","All",Inf,6
"Abhishek Jhunjhunwala",2010,"Saurabh Tiwary","Mumbai Indians",6,0,4,"All","All",Inf,9
"Abhishek Jhunjhunwala",2010,"VVS Laxman","Deccan Chargers",1,0,1,"All","All",Inf,6
"Abhishek Jhunjhunwala",2011,"Dinesh Karthik","Punjab Kings",8,0,4,"All","All",Inf,12
"Abhishek Jhunjhunwala",2011,"Irfan Pathan","Delhi Capitals",2,0,3,"All","All",Inf,4
"Abhishek Jhunjhunwala",2011,"Naman Ojha","Delhi Capitals",9,0,3,"All","All",Inf,18
"Abhishek Jhunjhunwala",2011,"Shaun Marsh","Punjab Kings",3,0,2,"All","All",Inf,9
"Abhishek Jhunjhunwala",2012,"Albie Morkel","Chennai Super Kings",6,1,6,"All","All",6,6
"Abhishek Jhunjhunwala",2012,"Faf du Plessis","Chennai Super Kings",2,0,6,"All","All",Inf,2
"Abhishek Jhunjhunwala",2012,"Mandeep Singh","Punjab Kings",13,0,9,"All","All",Inf,8.66666666666667
"Abhishek Jhunjhunwala",2012,"Shaun Marsh","Punjab Kings",12,0,9,"All","All",Inf,8
"Abhishek Jhunjhunwala",2012,"Suresh Raina","Chennai Super Kings",5,0,6,"All","All",Inf,5
"Abhishek Nayar",2008,"Adam Gilchrist","Deccan Chargers",20,0,4,"All","All",Inf,30
"Abhishek Nayar",2008,"Chamara Silva","Deccan Chargers",1,1,3,"All","All",1,2
"Abhishek Nayar",2008,"Dwaraka Ravi Teja","Deccan Chargers",12,0,10,"All","All",Inf,7.2
"Abhishek Nayar",2008,"Jacques Kallis","Royal Challengers Bangalore",1,0,1,"All","All",Inf,6
"Abhishek Nayar",2008,"Matthew Hayden","Chennai Super Kings",7,0,3,"All","All",Inf,14
"Abhishek Nayar",2008,"Mohammad Kaif","Rajasthan Royals",2,0,2,"All","All",Inf,6
"Abhishek Nayar",2008,"Shane Watson","Rajasthan Royals",2,0,4,"All","All",Inf,3
"Abhishek Nayar",2008,"Suresh Raina","Chennai Super Kings",7,0,3,"All","All",Inf,14
"Abhishek Nayar",2008,"VVS Laxman","Deccan Chargers",2,0,2,"All","All",Inf,6
"Abhishek Nayar",2008,"Venugopal Rao","Deccan Chargers",5,0,5,"All","All",Inf,6
"Abhishek Nayar",2008,"Virat Kohli","Royal Challengers Bangalore",9,0,5,"All","All",Inf,10.8
"Abhishek Nayar",2009,"Arindam Ghosh","Kolkata Knight Riders",0,1,1,"All","All",0,0
"Abhishek Nayar",2009,"Brad Hodge","Kolkata Knight Riders",13,1,12,"All","All",13,6.5
"Abhishek Nayar",2009,"Brendon McCullum","Kolkata Knight Riders",1,1,2,"All","All",1,3
"Abhishek Nayar",2009,"Gautam Gambhir","Delhi Capitals",11,0,7,"All","All",Inf,9.42857142857143
"Abhishek Nayar",2009,"Jacques Kallis","Royal Challengers Bangalore",19,0,17,"All","All",Inf,6.70588235294118
"Abhishek Nayar",2009,"Laxmi Shukla","Kolkata Knight Riders",0,0,3,"All","All",NA,0
"Abhishek Nayar",2009,"Morne van Wyk","Kolkata Knight Riders",4,0,4,"All","All",Inf,6
"Abhishek Nayar",2009,"Robin Uthappa","Royal Challengers Bangalore",7,0,7,"All","All",Inf,6
"Abhishek Nayar",2009,"Sourav Ganguly","Kolkata Knight Riders",4,1,7,"All","All",4,3.42857142857143
"Abhishek Nayar",2009,"Virender Sehwag","Delhi Capitals",14,0,5,"All","All",Inf,16.8
"Abhishek Nayar",2009,"Wriddhiman Saha","Kolkata Knight Riders",8,0,4,"All","All",Inf,12
"Abhishek Nayar",2009,"Yashpal Singh","Kolkata Knight Riders",3,0,3,"All","All",Inf,6
"Abhishek Nayar",2011,"Abhishek Raut","Rajasthan Royals",2,0,4,"All","All",Inf,3
"Abhishek Nayar",2011,"Ashok Menaria","Rajasthan Royals",1,0,2,"All","All",Inf,3
"Abhishek Nayar",2011,"Chris Gayle","Royal Challengers Bangalore",8,0,5,"All","All",Inf,9.6
"Abhishek Nayar",2011,"David Warner","Delhi Capitals",9,0,6,"All","All",Inf,9
"Abhishek Nayar",2011,"Jesse Ryder","Pune Warriors",1,0,1,"All","All",Inf,6
"Abhishek Nayar",2011,"Kumar Sangakkara","Deccan Chargers",8,0,4,"All","All",Inf,12
"Abhishek Nayar",2011,"Mithun Manhas","Pune Warriors",5,1,4,"All","All",5,7.5
"Abhishek Nayar",2011,"Murali Vijay","Chennai Super Kings",11,0,5,"All","All",Inf,13.2
"Abhishek Nayar",2011,"Robin Uthappa","Pune Warriors",13,0,8,"All","All",Inf,9.75
"Abhishek Nayar",2011,"S Badrinath","Chennai Super Kings",13,0,7,"All","All",Inf,11.1428571428571
"Abhishek Nayar",2011,"Shikhar Dhawan","Deccan Chargers",2,0,2,"All","All",Inf,6
"Abhishek Nayar",2011,"Virat Kohli","Royal Challengers Bangalore",1,0,1,"All","All",Inf,6
"Abhishek Nayar",2011,"Virender Sehwag","Delhi Capitals",2,0,2,"All","All",Inf,6
"Abhishek Nayar",2011,"Yogesh Nagar","Delhi Capitals",11,1,4,"All","All",11,16.5
"Abhishek Nayar",2011,"Yuvraj Singh","Pune Warriors",8,0,6,"All","All",Inf,8
"Abhishek Nayar",2012,"Chris Gayle","Royal Challengers Bangalore",8,0,3,"All","All",Inf,16
"Abhishek Nayar",2012,"Virat Kohli","Royal Challengers Bangalore",8,0,3,"All","All",Inf,16
"Abhishek Nayar",2013,"Ben Rohrer","Delhi Capitals",12,1,9,"All","All",12,8
"Abhishek Nayar",2013,"David Warner","Delhi Capitals",2,0,2,"All","All",Inf,6
"Abhishek Nayar",2013,"Kedar Jadhav","Delhi Capitals",1,0,1,"All","All",Inf,6
"Abhishek Nayar",2013,"Murali Vijay","Chennai Super Kings",2,1,4,"All","All",2,3
"Abhishek Nayar",2013,"Ravindra Jadeja","Chennai Super Kings",5,0,6,"All","All",Inf,5
"Abhishek Nayar",2013,"S Badrinath","Chennai Super Kings",23,0,15,"All","All",Inf,9.2
"Abhishek Nayar",2013,"Suresh Raina","Chennai Super Kings",14,0,11,"All","All",Inf,7.63636363636364
"Abhishek Raut",2009,"AB de Villiers","Delhi Capitals",10,0,5,"All","All",Inf,12
"Abhishek Raut",2009,"Chaminda Vaas","Deccan Chargers",11,0,4,"All","All",Inf,16.5
"Abhishek Raut",2009,"Dillon du Preez","Royal Challengers Bangalore",4,0,4,"All","All",Inf,6
"Abhishek Raut",2009,"Dwayne Smith","Deccan Chargers",2,0,2,"All","All",Inf,6
"Abhishek Raut",2009,"Roelof van der Merwe","Royal Challengers Bangalore",2,0,2,"All","All",Inf,6
"Abhishek Raut",2009,"Rohit Sharma","Deccan Chargers",6,0,5,"All","All",Inf,7.2
"Abhishek Raut",2009,"Tillakaratne Dilshan","Delhi Capitals",0,0,1,"All","All",NA,0
"Abhishek Raut",2009,"Tirumalasetti Suman","Deccan Chargers",1,0,1,"All","All",Inf,6
"Abhishek Raut",2011,"Dinesh Karthik","Punjab Kings",1,0,2,"All","All",Inf,3
"Abhishek Raut",2011,"Shaun Marsh","Punjab Kings",7,0,4,"All","All",Inf,10.5
"Abhishek Sharma",2019,"Colin Munro","Delhi Capitals",8,1,4,"All","All",8,12
"Abhishek Sharma",2019,"KL Rahul","Punjab Kings",4,0,2,"All","All",Inf,12
"Abhishek Sharma",2019,"Mayank Agarwal","Punjab Kings",7,0,4,"All","All",Inf,10.5
"Abhishek Sharma",2019,"Shreyas Iyer","Delhi Capitals",2,0,2,"All","All",Inf,6
"Abhishek Sharma",2020,"AB de Villiers","Royal Challengers Bangalore",2,0,3,"All","All",Inf,4
"Abhishek Sharma",2020,"Aaron Finch","Royal Challengers Bangalore",1,1,2,"All","All",1,3
"Abhishek Sharma",2020,"Devdutt Padikkal","Royal Challengers Bangalore",10,0,5,"All","All",Inf,12
"Abhishek Sharma",2020,"Eoin Morgan","Kolkata Knight Riders",2,0,2,"All","All",Inf,6
"Abhishek Sharma",2020,"Glenn Maxwell","Punjab Kings",1,0,1,"All","All",Inf,6
"Abhishek Sharma",2020,"KL Rahul","Punjab Kings",0,1,1,"All","All",0,0
"Abhishek Sharma",2020,"Kedar Jadhav","Chennai Super Kings",2,0,3,"All","All",Inf,4
"Abhishek Sharma",2020,"MS Dhoni","Chennai Super Kings",2,0,3,"All","All",Inf,4
"Abhishek Sharma",2020,"Nicholas Pooran","Punjab Kings",14,0,4,"All","All",Inf,21
"Abhishek Sharma",2020,"Rishabh Pant","Delhi Capitals",18,0,11,"All","All",Inf,9.81818181818182
"Abhishek Sharma",2020,"Robin Uthappa","Rajasthan Royals",2,0,3,"All","All",Inf,4
"Abhishek Sharma",2020,"Sanju Samson","Rajasthan Royals",9,0,3,"All","All",Inf,18
"Abhishek Sharma",2020,"Shikhar Dhawan","Delhi Capitals",9,0,8,"All","All",Inf,6.75
"Abhishek Sharma",2020,"Shimron Hetmyer","Delhi Capitals",2,0,2,"All","All",Inf,6
"Abhishek Sharma",2020,"Shreyas Iyer","Delhi Capitals",5,0,3,"All","All",Inf,10
"Abhishek Sharma",2020,"Shubman Gill","Kolkata Knight Riders",9,0,4,"All","All",Inf,13.5
"Abhishek Sharma",2020,"Virat Kohli","Royal Challengers Bangalore",3,0,2,"All","All",Inf,9
"Abhishek Sharma",2021,"Deepak Hooda","Punjab Kings",2,1,3,"All","All",2,4
"Abhishek Sharma",2021,"Fabian Allen","Punjab Kings",1,0,1,"All","All",Inf,6
"Abhishek Sharma",2021,"Faf du Plessis","Chennai Super Kings",2,0,4,"All","All",Inf,3
"Abhishek Sharma",2021,"James Neesham","Mumbai Indians",0,1,1,"All","All",0,0
"Abhishek Sharma",2021,"KL Rahul","Punjab Kings",1,0,1,"All","All",Inf,6
"Abhishek Sharma",2021,"Kieron Pollard","Mumbai Indians",4,1,3,"All","All",4,8
"Abhishek Sharma",2021,"Liam Livingstone","Rajasthan Royals",3,0,3,"All","All",Inf,6
"Abhishek Sharma",2021,"M Shahrukh Khan","Punjab Kings",9,0,5,"All","All",Inf,10.8
"Abhishek Sharma",2021,"Mayank Agarwal","Punjab Kings",2,0,5,"All","All",Inf,2.4
"Abhishek Sharma",2021,"Moises Henriques","Punjab Kings",9,1,9,"All","All",9,6
"Abhishek Sharma",2021,"Prithvi Shaw","Delhi Capitals",8,0,3,"All","All",Inf,16
"Abhishek Sharma",2021,"Quinton de Kock","Mumbai Indians",1,0,2,"All","All",Inf,3
"Abhishek Sharma",2021,"Rohit Sharma","Mumbai Indians",4,0,4,"All","All",Inf,6
"Abhishek Sharma",2021,"Ruturaj Gaikwad","Chennai Super Kings",7,0,8,"All","All",Inf,5.25
"Abhishek Sharma",2021,"Sanju Samson","Rajasthan Royals",5,0,3,"All","All",Inf,10
"Abhishek Sharma",2021,"Shikhar Dhawan","Delhi Capitals",6,0,3,"All","All",Inf,12
"Abhishek Sharma",2021,"Suryakumar Yadav","Mumbai Indians",0,0,2,"All","All",NA,0
"Abhishek Sharma",2022,"Faf du Plessis","Royal Challengers Bangalore",4,0,5,"All","All",Inf,4.8
"Abhishek Sharma",2022,"Ishan Kishan","Mumbai Indians",2,0,2,"All","All",Inf,6
"Abhishek Sharma",2022,"Jos Buttler","Rajasthan Royals",1,0,1,"All","All",Inf,6
"Abhishek Sharma",2022,"Rajat Patidar","Royal Challengers Bangalore",9,0,7,"All","All",Inf,7.71428571428572
"Abhishek Sharma",2022,"Rohit Sharma","Mumbai Indians",8,0,4,"All","All",Inf,12
"Abhishek Sharma",2022,"Sanju Samson","Rajasthan Royals",14,0,5,"All","All",Inf,16.8
"Abrar Kazi",2011,"Ajinkya Rahane","Rajasthan Royals",10,0,4,"All","All",Inf,15
"Abrar Kazi",2011,"Johan Botha","Rajasthan Royals",8,0,6,"All","All",Inf,8
"Abrar Kazi",2011,"Ross Taylor","Rajasthan Royals",3,0,2,"All","All",Inf,9
"Abu Nechim",2010,"MS Dhoni","Chennai Super Kings",13,0,5,"All","All",Inf,15.6
"Abu Nechim",2010,"Matthew Hayden","Chennai Super Kings",3,0,3,"All","All",Inf,6
"Abu Nechim",2010,"Suresh Raina","Chennai Super Kings",10,0,4,"All","All",Inf,15
"Abu Nechim",2011,"AB de Villiers","Royal Challengers Bangalore",12,0,6,"All","All",Inf,12
"Abu Nechim",2011,"Abhishek Nayar","Punjab Kings",2,0,2,"All","All",Inf,6
"Abu Nechim",2011,"Amit Mishra","Deccan Chargers",3,0,4,"All","All",Inf,4.5
"Abu Nechim",2011,"Cameron White","Deccan Chargers",1,0,4,"All","All",Inf,1.5
"Abu Nechim",2011,"Chris Gayle","Royal Challengers Bangalore",33,0,10,"All","All",Inf,19.8
"Abu Nechim",2011,"Dale Steyn","Deccan Chargers",3,0,2,"All","All",Inf,9
"Abu Nechim",2011,"Dan Christian","Deccan Chargers",9,0,5,"All","All",Inf,10.8
"Abu Nechim",2011,"Gautam Gambhir","Kolkata Knight Riders",6,1,2,"All","All",6,18
"Abu Nechim",2011,"Jacques Kallis","Kolkata Knight Riders",3,0,7,"All","All",Inf,2.57142857142857
"Abu Nechim",2011,"Jesse Ryder","Pune Warriors",0,1,3,"All","All",0,0
"Abu Nechim",2011,"Kumar Sangakkara","Deccan Chargers",10,0,7,"All","All",Inf,8.57142857142857
"Abu Nechim",2011,"Luke Pomersbach","Royal Challengers Bangalore",3,0,2,"All","All",Inf,9
"Abu Nechim",2011,"Manoj Tiwary","Kolkata Knight Riders",8,0,4,"All","All",Inf,12
"Abu Nechim",2011,"Mayank Agarwal","Royal Challengers Bangalore",5,0,2,"All","All",Inf,15
"Abu Nechim",2011,"Michael Hussey","Chennai Super Kings",2,0,3,"All","All",Inf,4
"Abu Nechim",2011,"Mithun Manhas","Pune Warriors",0,1,1,"All","All",0,0
"Abu Nechim",2011,"Mohnish Mishra","Pune Warriors",0,0,1,"All","All",NA,0
"Abu Nechim",2011,"Murali Kartik","Pune Warriors",6,0,3,"All","All",Inf,12
"Abu Nechim",2011,"Murali Vijay","Chennai Super Kings",11,0,5,"All","All",Inf,13.2
"Abu Nechim",2011,"Paul Valthaty","Punjab Kings",4,0,7,"All","All",Inf,3.42857142857143
"Abu Nechim",2011,"Rajat Bhatia","Kolkata Knight Riders",8,0,3,"All","All",Inf,16
"Abu Nechim",2011,"Robin Uthappa","Pune Warriors",7,0,9,"All","All",Inf,4.66666666666667
"Abu Nechim",2011,"Ryan ten Doeschate","Kolkata Knight Riders",0,1,2,"All","All",0,0
"Abu Nechim",2011,"S Badrinath","Chennai Super Kings",6,0,4,"All","All",Inf,9
"Abu Nechim",2011,"Saurabh Tiwary","Royal Challengers Bangalore",3,0,3,"All","All",Inf,6
"Abu Nechim",2011,"Shakib Al Hasan","Kolkata Knight Riders",1,0,1,"All","All",Inf,6
"Abu Nechim",2011,"Shaun Marsh","Punjab Kings",16,0,9,"All","All",Inf,10.6666666666667
"Abu Nechim",2011,"Shikhar Dhawan","Deccan Chargers",1,0,2,"All","All",Inf,3
"Abu Nechim",2011,"Shreevats Goswami","Kolkata Knight Riders",0,0,1,"All","All",NA,0
